order_no,date,day,customer,item,qty_dozens,rate_per_dozen,amount,payment_status,amount_paid
1089,26/09/2026,Sat,Sharma Traders,track pant,12,1100,₹13200,Partial,Rs 5280
1090,07-08-26,Mon, New Punjab Cloth House,Baniyan,3,360,₹1080,UDHAR,0
1091,19/08/2026,Sat,Arora Collection,Sweter,6,1800,10800,Cash,10800
1092,05-07-26,Wed,Lucky Traders,Track Lower,2,720,1440,Partial,576
1093,05-08-26,Sun,Verma Garments,socks,3,240,720,part paid,288
1094,07-08-26,Mon,Verma Garments,t-shirt,4,900,3600,Part Paid,₹1440
1095,02-07-26,Sat, New Punjab Cloth House,Socks,4,240,960,PAID,₹960
1096,Jul-09,Wed,VERMA GARMENTS,t-shirt,8 dozen,900,7200/-,Pending,0
1097,Jul-12,Sat,Lucky Traders,socks,12,240,2880,udhaar,
1098,25-08-2026,Sat,Arora Collection,Vest,15,360,5400,udhaar,
1099,16-7-26,Fri, Arora Collection,Sock,5,240,₹1200,paid,1200
1100,Aug-08,Tue, Guru Nanak Hosiery,Tshirt,4,900,3600,paid,Rs 3600
